delivery_id,order_id,delivery_status,delivery_time,rider_id
1,1,Delivered,19:09:00,1204
2,2,Delayed,08:18:00,702
3,3,In Transit,19:17:00,457
4,4,Delivered,23:40:00,1003
5,5,Delivered,10:37:00,1503
6,6,In Transit,11:19:00,525
7,7,Delivered,10:52:00,1065
8,8,Failed,17:27:00,1338
9,9,Failed,22:58:00,465
10,10,Failed,19:56:00,1985
11,11,Delayed,15:45:00,1073
12,12,Delivered,09:54:00,777
13,13,Delivered,14:42:00,1097
14,14,Failed,19:55:00,1988
15,15,Failed,08:40:00,1840
16,16,Delivered,16:35:00,649
17,17,In Transit,22:21:00,1673
18,18,Failed,19:19:00,968
19,19,Failed,15:42:00,1767
20,20,In Transit,08:01:00,1676
21,21,Failed,13:59:00,260
22,22,In Transit,23:46:00,142
23,23,Failed,16:52:00,886
24,24,Failed,11:16:00,1847
25,25,Delivered,11:53:00,1522
26,26,Failed,12:45:00,1526
27,27,Failed,08:22:00,790
28,28,Delayed,17:06:00,721
29,29,Failed,14:45:00,301
30,30,Delayed,09:44:00,724
31,31,In Transit,14:04:00,1300
32,32,In Transit,16:17:00,1258
33,33,In Transit,20:32:00,540
34,34,Failed,22:23:00,1711
35,35,Delayed,22:32:00,1307
36,36,Delivered,22:41:00,410
37,37,Failed,09:08:00,1037
38,38,Delayed,09:48:00,550
39,39,Delayed,14:35:00,527
40,40,Delivered,18:03:00,1158
41,41,In Transit,13:36:00,1518
42,42,In Transit,10:57:00,1948
43,43,Failed,10:08:00,1439
44,44,Delayed,17:29:00,690
45,45,Failed,18:13:00,1174
46,46,Delivered,21:42:00,783
47,47,Delayed,19:29:00,417
48,48,In Transit,08:04:00,1219
49,49,Delivered,15:54:00,1805
50,50,Delivered,19:40:00,1577
51,51,In Transit,15:18:00,1381
52,52,In Transit,19:24:00,724
53,53,In Transit,12:06:00,301
54,54,Failed,15:34:00,1041
55,55,Delivered,08:25:00,1309
56,56,In Transit,21:45:00,183
57,57,Failed,15:09:00,2
58,58,Delayed,19:13:00,1221
59,59,Delivered,10:59:00,902
60,60,In Transit,16:38:00,1211
61,61,In Transit,22:53:00,1195
62,62,Delayed,19:04:00,1878
63,63,Delivered,13:55:00,1132
64,64,Failed,10:09:00,834
65,65,Delivered,22:23:00,1913
66,66,Delivered,14:20:00,1036
67,67,In Transit,08:35:00,1062
68,68,Delayed,12:38:00,145
69,69,Delayed,17:56:00,571
