order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
1,9401,1103,Paneer Butter Masala,2024-07-05,21:29:00,Pending,436.41
2,5655,922,Momos,2024-11-28,14:39:00,Delivered,976.06
3,5631,1557,Tandoori Chicken,2023-03-10,10:54:00,Delivered,205.37
4,4703,1223,Momos,2023-01-09,12:51:00,Delivered,1176.45
5,4511,313,Masala Dosa,2023-09-05,12:47:00,Cancelled,504.11
6,539,807,Margherita Pizza,2024-12-05,09:49:00,Pending,1152.96
7,7372,1044,Masala Dosa,2023-11-16,10:50:00,Delivered,702.69
8,1317,693,Veg Burger,2024-07-27,22:21:00,Delivered,1031.28
9,1565,777,Chicken Biryani,2023-04-30,18:57:00,Pending,454.32
10,4947,1061,Veg Burger,2023-03-06,12:04:00,Preparing,393.43
11,4529,889,Tandoori Chicken,2023-11-08,11:35:00,Pending,169.94
12,6691,660,Veg Burger,2024-05-12,09:39:00,Preparing,1140.73
13,6232,150,Margherita Pizza,2024-03-03,15:40:00,Cancelled,347.95
14,7847,114,Tandoori Chicken,2024-08-24,11:33:00,Preparing,381.52
15,9921,876,Chicken Biryani,2024-04-12,21:34:00,Delivered,230.06
16,7337,647,Margherita Pizza,2023-11-12,10:52:00,Cancelled,1030.82
17,2431,332,Fried Rice,2023-12-03,15:57:00,Preparing,404.95
18,6702,226,Paneer Butter Masala,2024-04-18,18:56:00,Delivered,317.74
19,749,1085,Margherita Pizza,2023-12-09,19:58:00,Delivered,321.41
20,7863,136,Pasta Alfredo,2024-09-22,13:53:00,Delivered,645.28
21,1204,1509,Chicken Biryani,2023-05-04,20:33:00,Delivered,511.5
22,5306,661,Chicken Biryani,2023-11-19,18:48:00,Pending,993.23
23,9946,1663,Veg Burger,2024-08-20,09:07:00,Preparing,731.02
24,335,1173,Butter Naan,2023-05-28,18:41:00,Delivered,243.66
25,1503,994,Tandoori Chicken,2024-03-31,22:46:00,Pending,771.82
26,1662,858,Masala Dosa,2024-01-20,17:03:00,Pending,994.9
27,7374,652,Margherita Pizza,2024-07-05,18:13:00,Delivered,366.97
28,4811,818,Chicken Biryani,2024-05-16,15:21:00,Delivered,1093.58
29,1174,400,Chicken Biryani,2024-02-17,18:57:00,Delivered,695.54
30,3265,1373,Veg Burger,2024-05-20,18:11:00,Delivered,1065.83
31,8442,395,Chicken Biryani,2024-09-18,22:39:00,Preparing,1033.56
32,2623,1421,Tandoori Chicken,2023-05-29,09:43:00,Delivered,555.97
33,3539,137,Paneer Butter Masala,2024-01-06,23:36:00,Delivered,293.92
34,1893,508,Pasta Alfredo,2024-09-11,10:37:00,Cancelled,980.03
35,2566,342,Tandoori Chicken,2023-11-01,08:15:00,Delivered,482.42
36,3431,901,Margherita Pizza,2023-10-01,23:35:00,Delivered,607.78
37,9664,286,Chicken Biryani,2024-07-13,22:27:00,Pending,431.92
38,2157,246,Veg Burger,2023-08-28,19:32:00,Cancelled,1091.3
39,502,1857,Veg Burger,2024-02-19,08:02:00,Pending,319.76
40,9414,1851,Paneer Butter Masala,2024-12-07,08:53:00,Delivered,284.15
41,8443,1105,Tandoori Chicken,2023-01-10,13:37:00,Delivered,379.14
42,7144,1682,Chicken Biryani,2023-11-15,13:58:00,Pending,283.81
43,1983,1564,Fried Rice,2024-08-12,21:36:00,Cancelled,212.6
44,9584,155,Fried Rice,2024-12-13,18:34:00,Pending,1093.99
45,171,1026,Veg Burger,2024-05-23,09:46:00,Pending,893.62
46,579,1532,Margherita Pizza,2024-02-20,20:36:00,Delivered,628.3
47,6137,939,Veg Burger,2024-10-01,13:41:00,Preparing,646.75
48,3466,40,Butter Naan,2023-08-07,14:33:00,Delivered,987.67
49,3793,609,Chicken Biryani,2024-10-16,10:37:00,Delivered,1196.58
50,3067,159,Margherita Pizza,2023-09-07,08:55:00,Delivered,444.48
51,5786,1929,Margherita Pizza,2023-05-09,11:09:00,Cancelled,310.46
52,9271,264,Veg Burger,2024-09-08,13:16:00,Cancelled,922.98
53,5300,778,Tandoori Chicken,2023-12-05,20:08:00,Pending,501.92
54,3570,1682,Chicken Biryani,2023-08-25,23:14:00,Delivered,353.28
55,1302,1569,Paneer Butter Masala,2024-08-06,13:29:00,Pending,409.8
56,9889,39,Margherita Pizza,2024-10-25,10:35:00,Cancelled,344.35
57,2954,402,Momos,2023-07-25,19:00:00,Preparing,970.16
58,4176,1335,Fried Rice,2023-10-12,13:31:00,Delivered,1002.93
59,4140,1606,Tandoori Chicken,2024-08-22,18:14:00,Preparing,458.5
60,3479,730,Fried Rice,2023-02-17,09:40:00,Cancelled,1060.25
61,8118,426,Fried Rice,2023-05-22,17:42:00,Pending,759.2
62,5894,1971,Paneer Butter Masala,2023-05-22,15:52:00,Pending,457.46
63,6666,1612,Butter Naan,2024-06-24,12:06:00,Cancelled,1184.59
64,1813,413,Tandoori Chicken,2023-05-27,17:19:00,Preparing,525.35
65,134,1683,Margherita Pizza,2023-05-21,19:59:00,Delivered,732.16
66,8504,556,Butter Naan,2024-01-20,19:34:00,Preparing,805.2
67,4710,506,Fried Rice,2023-01-08,15:18:00,Delivered,721.15
68,9397,394,Butter Naan,2023-09-22,17:08:00,Delivered,511.39
69,3187,1480,Paneer Butter Masala,2024-06-30,16:13:00,Cancelled,370.79
70,3233,542,Fried Rice,2023-04-04,12:27:00,Pending,239.34
71,6505,1126,Veg Burger,2024-08-15,14:18:00,Delivered,919.71
72,9723,482,Pasta Alfredo,2024-07-06,17:46:00,Delivered,320.86
73,5047,73,Veg Burger,2024-06-22,12:22:00,Cancelled,738.17
74,1919,447,Tandoori Chicken,2024-07-29,16:30:00,Pending,416.6
75,6794,186,Tandoori Chicken,2023-10-13,14:45:00,Pending,894.85
